osm_id,highway,intersecti,turn,access,change,junction,surface,oneway,maxspeed,distance,angle,latitude,longitude,ID,Name,area_index
84809528,secondary,,,,no,,asphalt,,,50,307.53611,22.2791301,114.1527047,59,"Central And Western
",1
849481368,tertiary,,,,,,concrete,yes,,0,107.2010345,22.2820163,114.1538681,60,"Central And Western
",1
32592532,secondary,,,,,,asphalt,yes,,250,285.0768481,22.2801267,114.1583218,61,"Central And Western
",1
156335543,residential,,,,,,,,,0,341.1176173,22.2656501,114.1520839,62,"Central And Western
",1
25604850,secondary,,,,,,asphalt,yes,,0,281.2532498,22.2754127,114.1549085,63,"Central And Western
",1
28071385,secondary,,,,,,asphalt,yes,,250,103.1744687,22.28720585,114.1342259,64,"Central And Western
",1
494968376,tertiary,,,,,,asphalt,yes,,0,240.1852861,22.277606,114.15292,65,"Central And Western
",1
156335572,unclassified,,,,,,asphalt,,,50,314.5927927,22.26866753,114.1567729,66,"Central And Western
",1
494505907,secondary,,,,,,asphalt,yes,,0,246.7156271,22.2857415,114.1368666,67,"Central And Western
",1
675533247,secondary,,,,,,asphalt,yes,,50,318.3829044,22.28053516,114.1576167,68,"Central And Western
",1
27502921,residential,,,,,,asphalt,yes,,450,0,22.27768606,114.152283,69,"Central And Western
",1
524463281,residential,,,,,,asphalt,,,100,127.4624154,22.26486452,114.1555833,70,"Central And Western
",1
107039687,tertiary,,,,,,asphalt,yes,,200,289.2420205,22.28665331,114.1575426,71,"Central And Western
",1
94271445,unclassified,,,,,,asphalt,yes,,50,179.5437219,22.2683203,114.1515298,72,"Central And Western
",1
59875807,residential,,,,,,asphalt,,,0,110.1955545,22.2874303,114.1495951,73,"Central And Western
",1
766714731,primary,,,,,,asphalt,yes,,0,270.5717008,22.2886452,114.1419558,74,"Central And Western
",1
148461475,residential,,,,,,asphalt,,,0,41.52967806,22.2851142,114.1504804,75,"Central And Western
",1
882796884,unclassified,,,,,,asphalt,yes,,0,196.0751483,22.2874374,114.1519763,76,"Central And Western
",1
156335588,residential,,,,,,asphalt,,,450,126.3943643,22.27038489,114.1575233,77,"Central And Western
",1
28071385,secondary,,,,,,asphalt,yes,,300,103.1744687,22.28711058,114.1346632,78,"Central And Western
",1
89141522,secondary,,,,,,concrete,yes,,300,289.3654603,22.28610222,114.1489934,79,"Central And Western
",1
668766253,motorway,,,,,,,yes,80,1550,297.7726466,22.28361734,114.1631923,80,"Central And Western
",1
89141566,residential,,,,,,asphalt,,,0,219.9813536,22.2875098,114.1454748,81,"Central And Western
",1
817849072,residential,,,,,,asphalt,,,500,88.5354859,22.28053464,114.1429493,82,"Central And Western
",1
311799398,residential,,,,,,asphalt,yes,,0,34.82985735,22.2795261,114.1643402,83,"Central And Western
",1
773677708,primary_link,,,,,,,yes,50,0,166.1800477,22.2863795,114.1559435,84,"Central And Western
",1
85320760,secondary,,,,,,asphalt,yes,,50,229.7122881,22.27816219,114.1611132,85,"Central And Western
",1
33871770,residential,,,,,,asphalt,yes,,50,95.62757365,22.28500931,114.1454658,86,"Central And Western
",1
31846859,motorway_link,,,,,,asphalt,yes,50,50,290.9905935,22.29019669,114.1416113,87,"Central And Western
",1
148228871,unclassified,,left,,,,concrete,yes,,0,184.7307067,22.2884023,114.1459009,88,"Central And Western
",1
42293241,tertiary,,,,,,asphalt,yes,,0,144.3080632,22.2821178,114.1499268,89,"Central And Western
",1
89272653,motorway_link,,,,,,asphalt,yes,70,0,238.6747645,22.2886069,114.1396146,90,"Central And Western
",1
23746623,residential,,,,,,asphalt,yes,,350,309.0939633,22.27457705,114.1639401,91,"Central And Western
",1
675837667,secondary,,,,,,asphalt,yes,50,150,122.0842212,22.28478302,114.1589916,92,"Central And Western
",1
494229090,secondary,,,,,,asphalt,yes,50,50,139.4921032,22.28371294,114.1576264,93,"Central And Western
",1
151226287,secondary,,,,,,asphalt,yes,,0,104.9970986,22.2865969,114.1520932,94,"Central And Western
",1
702480527,secondary,,,,,,asphalt,,,0,77.18445046,22.2817849,114.1231193,95,"Central And Western
",1
151226287,secondary,,,,,,asphalt,yes,,50,104.9970986,22.28648873,114.1525271,96,"Central And Western
",1
25608476,residential,,,,,,concrete,yes,,50,196.3760848,22.28132618,114.1612807,97,"Central And Western
",1
84832499,secondary,,,,,,asphalt,yes,50,100,70.25093092,22.27646927,114.1555058,98,"Central And Western
",1
322839531,secondary,,,,,,asphalt,,,50,23.85618054,22.28459992,114.1410342,99,"Central And Western
",1
854453647,trunk,,,,,,asphalt,yes,80,150,280.2222288,22.28727882,114.1345884,100,"Central And Western
",1
160581523,primary,,,,,,asphalt,yes,,50,254.7756024,22.28755283,114.1369003,101,"Central And Western
",1
326484052,primary,,,,,,asphalt,yes,,0,71.4382404,22.2877444,114.1370178,102,"Central And Western
",1
156335561,tertiary,,,,,,asphalt,,,350,30.17828693,22.26579683,114.1517582,103,"Central And Western
",1
32511359,tertiary,,,,,,asphalt,yes,,0,295.7971044,22.286236,114.1604095,104,"Central And Western
",1
681882530,motorway,,,,,,asphalt,yes,80,300,45.98437408,22.28972874,114.145931,105,"Central And Western
",1
668043424,secondary,,,,,,asphalt,yes,50,0,272.6769836,22.282181,114.16792,106,"Central And Western
",1
