FID,wall,building,sky,tree,road,sidewalk,earth,mountain,car,streetlight,grass,person,plant,fence,railing,bridge,signboard,van,windowpane,column,awning,bicycle,ashcan,pier,ceiling,water,minibike,chair,lake
2002,0.055015999999999995,0.071359,0.342898,0.052949,0.342422,0.0,0.000352,0.001332,0.044371,0.0,0.0,0.0,0.000852,0.033569999999999996,0.005843999999999999,0.048594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.072293,0.15254700000000002,0.279961,0.040082,0.380969,0.0035859999999999998,0.044383,0.0,0.001227,2.7000000000000002e-05,0.0,0.0,0.0,0.007245999999999999,0.008409999999999999,0.006065999999999999,0.003203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.051151999999999996,0.021262,0.408621,0.086605,0.39793,0.0,0.0029059999999999997,0.0,0.00282,0.000246,3.5e-05,0.0,0.0,0.00266,0.025426,0.0,0.000336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.058922,0.14148,0.345777,0.061676,0.381887,0.005613,0.0,0.0,0.001598,0.000102,0.000719,0.0,0.0,0.000625,0.001602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.09591000000000001,0.000941,0.186852,0.30141,0.107301,0.02698,0.0,0.0,0.005777,0.0,0.042914,0.0,0.091148,0.137598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0051990000000000005,0.175875,0.267918,0.067609,0.253902,0.021938,0.005547,0.0,0.015097999999999999,0.000395,0.072867,0.0,0.000398,0.07482799999999999,0.0,0.0,0.008617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.998758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.092152,0.343105,0.060512,0.313281,0.019645,4.7e-05,0.001117,0.014707,0.0018440000000000002,0.062238,0.0,0.012512,0.053453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.036863,0.13580899999999999,0.316793,0.07047300000000001,0.21499200000000002,0.035656,0.0,0.0,0.046215,0.0,0.000848,0.0,0.014359,0.12072999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.022430000000000002,0.066113,0.465008,0.087086,0.132406,0.070203,0.0,0.0,0.068621,0.000363,0.024453,0.0,0.0,0.062789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005200000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.031105,0.069977,0.236855,0.244,0.172691,0.051039,0.081977,0.0,0.006875,0.0,0.001145,0.000973,0.041691000000000006,0.001395,0.0,0.0,0.000215,0.0,0.0,0.0,0.0,0.0,0.002641,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0008320000000000001,0.055977,0.394301,0.099758,0.34692199999999995,0.021793,0.0,0.0,0.002559,0.000129,0.015172,0.0,0.002473,0.060012,0.0,0.0,7.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.01518,0.254508,0.241102,0.015477000000000001,0.15371500000000002,0.000273,0.0,0.004543,0.004734,0.000312,0.139766,0.0,0.001402,0.065973,0.0,0.0,0.0019100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.042184,0.287438,0.343926,0.143543,0.007305,0.14943800000000002,0.0,0.0,0.00013700000000000002,0.0036520000000000003,0.0,0.004941,0.016488,0.0,0.0,0.000949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.000195,0.039832,0.203773,0.274055,0.26568400000000003,0.062148,0.048801,0.0,0.020836,0.0,0.0,0.0,0.003457,0.06425399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.043398,0.329004,0.034008,0.217863,0.002277,0.0068590000000000005,0.0,0.13518,0.000172,0.023078,0.0,0.0029219999999999997,0.044703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.00257,0.073684,0.24554299999999998,0.21254299999999998,0.207379,0.030351999999999997,0.000863,0.0,0.127387,0.0,0.001523,0.0,0.015397999999999998,0.081496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000977,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.08442999999999999,0.29994499999999996,0.128633,0.400242,0.014648,0.000168,0.0,0.009336,0.00031600000000000004,0.002113,0.0,0.000215,0.044851999999999996,0.0,0.0,0.001039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.025241999999999997,0.046077999999999994,0.324031,0.166719,0.32224200000000003,0.024105,0.049574,0.0,0.006039,9e-05,0.017641,0.0,0.0,0.0069489999999999994,0.0,0.0,0.004285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.002125,0.037797000000000004,0.138273,0.350883,0.359469,0.010027,0.016848,0.002605,0.014371,0.000156,0.063082,0.0,9.8e-05,0.0,0.0,0.0,0.0,0.000699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.011223,0.013449000000000001,0.27184400000000003,0.290441,0.281621,0.064988,0.0068200000000000005,0.0,0.024938,0.0,0.0,0.0,0.013569999999999999,0.021105000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.01084,0.054542999999999994,0.378309,0.186109,0.28333200000000003,0.0,0.0007769999999999999,0.0,7.8e-05,0.0,0.06617200000000001,0.0,0.009031,0.007945,0.0,0.0,0.000496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.09807,0.190023,0.275293,0.169816,0.005843999999999999,0.046066,0.0,0.10534,0.000234,0.013859,0.0,0.009988,0.045023,0.0,0.0,0.002121,0.0,0.0,0.0,0.0,0.0,0.030812,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.002535,0.148945,0.205172,0.137941,0.208441,0.093375,0.007789,0.0,0.037648,0.0,0.008703,0.0,0.095113,0.0,0.0,0.0,0.0,0.007281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
