ID,Lng,Lat,angle,highway
1.0,153.0427402,-27.4388478,161.59929814137496,secondary
2.0,153.0428425381,-27.4392355791,179.8756208738375,secondary
3.0,153.0287652,-27.4518266,336.1857924501093,motorway
4.0,153.0286339,-27.4515612,337.63776284507037,motorway
5.0,153.0283230076,-27.451282338200002,306.8896517298568,motorway
6.0,153.0404537,-27.4415662,99.15450752265949,unclassified
7.0,153.0408971367,-27.4416299559,99.15450752265949,unclassified
8.0,153.0413405734,-27.4416937117,99.15450752265949,unclassified
9.0,153.0267109,-27.4515401,250.20186083814068,motorway
10.0,153.0262882913,-27.451675819400002,250.20186083814068,motorway
11.0,153.0258920042,-27.451863052600004,240.78796872752247,motorway
12.0,153.0255190059,-27.452085610900003,234.8788833440304,motorway
13.0,153.0251507489,-27.4523150162,234.6525884084692,motorway
14.0,153.0380734,-27.4297501,113.07553928282314,secondary
15.0,153.03848662,-27.4299071827,113.07553928282314,secondary
16.0,153.03889984010002,-27.4300642652,113.07553928282314,secondary
17.0,153.0393130601,-27.430221347399996,113.07553928282314,secondary
18.0,153.0397448697,-27.4303306325,103.22301782376024,secondary
19.0,153.0387263,-27.4342825,279.85206144529496,residential
20.0,153.0382837662,-27.4342139277,279.85206144529496,residential
21.0,153.0378412323,-27.4341453554,279.85206144529496,residential
22.0,153.0391822,-27.4296193,97.64482424823551,residential
23.0,153.0396284794,-27.4296644181,96.18148205331099,residential
24.0,153.0439454,-27.4404566,302.27312478509407,motorway
25.0,153.0435498155,-27.4402686842,293.02410635445517,motorway
26.0,153.0431149197,-27.4401722396,279.3490652569881,motorway
27.0,153.04266949200002,-27.4401207398,277.3424017678632,motorway
28.0,153.0422240174,-27.4400695257,277.3424017678632,motorway
29.0,153.04177854280002,-27.4400183116,277.3424017678632,motorway
30.0,153.0413330682,-27.4399670975,277.3424017678632,motorway
31.0,153.0408860184,-27.439931203,271.3051682934336,motorway
32.0,153.0404402597,-27.439968506,259.3399996337522,motorway
33.0,153.0400333734,-27.440134790300004,240.2844550538321,motorway
34.0,153.0387835,-27.4415587,29.63541970460872,motorway
35.0,153.0358673,-27.4359021,195.1333499134353,residential
36.0,153.0357848523,-27.4362957256,189.4529733328078,residential
37.0,153.0357110835,-27.4366910372,189.4529733328078,residential
38.0,153.0370193,-27.4349558,157.97463849540952,residential
39.0,153.0373889641,-27.4351239088,100.7910316520415,residential
40.0,153.0378301791,-27.4351989418,100.7910316520415,residential
41.0,153.0411176,-27.4364854,1.183873127272783,secondary
42.0,153.0411268801,-27.436084731199998,1.183873127272783,secondary
43.0,153.0411192609,-27.4356845835,354.84632352198577,secondary
44.0,153.0410773788,-27.4352855773,354.2396821171161,secondary
45.0,153.0410322981,-27.434886842199997,354.2396821171161,secondary
46.0,153.0409386063,-27.434495024,347.6347928838545,secondary
47.0,153.0408488934,-27.4341023465,348.64285180899145,secondary
48.0,153.0455454,-27.4391239,187.944850667379,unclassified
49.0,153.0454833175,-27.439520796700002,187.944850667379,unclassified
50.0,153.0454207504,-27.4399176293,188.60006577653542,unclassified
51.0,153.0453548484,-27.4403140209,187.26957647264388,unclassified
52.0,153.0427078,-27.445261,29.289325717867175,primary
53.0,153.0429275369,-27.444911506100002,29.289325717867175,primary
54.0,153.0430747,-27.4426134,299.02026401789226,unclassified
55.0,153.0426819349,-27.4424189976,299.02026401789226,unclassified
56.0,153.0424085858,-27.4426657173,209.05077733173204,unclassified
57.0,153.0421904818,-27.4430160316,209.05077733173204,unclassified
58.0,153.0419723777,-27.4433663447,209.05077733173204,unclassified
59.0,153.0417542737,-27.4437166568,209.05077733173204,unclassified
60.0,153.0110935,-27.4491297,173.08598501306832,primary
61.0,153.0111475694,-27.4495274925,173.08598501306832,primary
62.0,153.0111775903,-27.449926568200002,180.0606777037741,primary
63.0,153.0111572358,-27.4503262424,186.5814468793848,primary
64.0,153.0111040866,-27.450724121300002,187.39064123312926,primary
65.0,153.0110232466,-27.451117951,192.1447981607317,primary
66.0,153.0425315,-27.4436372,1.471965788181188,unclassified
67.0,153.0426742184,-27.4432659806,28.70166246484875,unclassified
68.0,153.0428899259,-27.4429144879,28.70166246484875,unclassified
69.0,153.0431082648,-27.4425643526,31.40624249572084,unclassified
70.0,153.0433266281,-27.442214504699997,26.99518329563926,unclassified
71.0,153.0435305078,-27.441857433499997,26.99518329563926,unclassified
72.0,153.0423829,-27.4343813,267.810722621806,unclassified
73.0,153.0419340702,-27.4343966094,267.810722621806,unclassified
74.0,153.04148524040002,-27.434411918800002,267.810722621806,unclassified
75.0,153.0410364106,-27.4344272282,267.810722621806,unclassified
76.0,153.0423699,-27.4333841,356.32421715633035,primary
77.0,153.0406664,-27.4333008,354.37569824876874,secondary
78.0,153.0406736052,-27.432901421700002,4.2665825461973395,secondary
79.0,153.0407338005,-27.4325044098,8.366051251809727,secondary
80.0,153.0407991516,-27.4321079055,8.366051251809727,secondary
81.0,153.0408693285,-27.4317120662,9.226667584111805,secondary
82.0,153.0409413642,-27.431316482199996,9.232904920866918,secondary
83.0,153.0410134307,-27.4309209012,9.232904920866918,secondary
84.0,153.0490278,-27.4386146,191.03047483241338,residential
85.0,153.0489418622,-27.4390079415,191.03047483241338,residential
86.0,153.0352439,-27.4523121,42.635859550392475,primary
