FID,angle,latitude,longitude,wall,ceiling,road,earth,building,sky,tree,sidewalk,person,car,fence,railing,signboard,bridge,minibike,grass,mountain,skyscraper,streetlight,plant,van,column,windowpane,ashcan,awning,bicycle,fountain,water,sculpture,bulletin board,lamp,chair
14027,29.8156214,22.41223938,114.2259323,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14028,15.29837706,22.3764497,114.176828,0.412895,0.208961,0.377051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001094,0,0,0,0,0,0,0,0,0
14029,69.9676097,22.37347324,114.1974198,0.005492,0,0.463828,0,0.354211,0.034797,0.101336,0.007473,0,0.007473,0.002031,0.013184,0,0.006934,7.40E-05,0,0,0,0,0.000633,0.002535,0,0,0,0,0,0,0,0,0,0,0
14030,50.64050106,22.41697703,114.232232,0.177105,0.050375,0.414848,0.007559,0.021207,0.144902,0.145125,0.005535,0,0.004738,0.015676,0,0,0.000445,0,0.00068,0,0,0,0,0,0.011805,0,0,0,0,0,0,0,0,0,0
14031,27.89153665,22.3961678,114.1989507,0.005039,0,0.248219,0.031805,0.435059,0.105816,0.035008,0.023102,0.026293,3.90E-05,0.082406,0.003953,0,0,0,0,0,0,5.50E-05,0.00223,0,0,0,0,0.000863,0,0,0,0,0,0,0
14032,193.1259186,22.37077796,114.2136318,0.367855,0.300844,0,0,0,0.000805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14033,20.43778475,22.41795691,114.2319915,0.00025,0,0.324703,0.070316,0.06284,0.16941,0.259578,0.028863,0,0.00998,0.027129,0.015242,0,0,0,0,0,0.02184,0.001949,0,0,0,0,0,0,0,0,0,0,0,0,0
14034,40.80280389,22.3856447,114.206766,0.000293,0,0.429957,0,0.118863,0.15718,0.149043,0.016734,0.000496,0.003637,0.010977,0,0,0.003902,0,0.000789,0.008305,0.09477,0.000973,0.001746,0,0,0,0,0,0,0,0,0,0,0,0
14035,73.38354805,22.4254168,114.2292857,0.002059,0,0.352879,0,0.301578,0.091586,0.164484,0.043367,0.003215,0.014457,0.00016,0,0.000184,0,0,1.20E-05,0,0,0.001633,0.005512,0,0,0,0.000914,0.002781,0,0,0,0,0,0,0
14036,36.27369638,22.3706939,114.1738644,0.002895,0,0.321613,0.000469,0.020941,0.257867,0.309781,0.003098,0,0.001867,0,0.068461,0,0.01284,0,0,0,0,0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0
14037,185.173421,22.3722385,114.1955567,0,0,0.206402,0.103234,0.00393,0.002738,0.556465,0,0.006027,0.026898,0.022945,0,0.002051,0,0,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14038,211.8420556,22.41069504,114.2243795,0.025895,0,0.234895,0.045719,0.076434,0.15468,0.24407,0.007066,0,0.001145,0.039434,0,0.003445,0.086273,0,0.004766,0,0,6.60E-05,0.068258,0,0,0,0,0,0,0,0,0,0,0,0
14039,57.93783388,22.4252839,114.2036492,0,0,0.15748,0.003914,0,0.024898,0.702598,0,0,0,0.015266,0,0,0,0,0.095844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14040,315.2512699,22.3797511,114.1774635,0.28623,0,0.297602,0.01657,0.009523,0.191215,0.160934,0,0.000352,0.00175,0.032742,0,0.001023,0,0,0,0.000348,0,0.000211,0,0,0,0,0,0,0,0,0,0,0,0,0
14041,77.21948389,22.3477478,114.1501674,0.112074,0.260621,0.000988,0.050855,0,0.207805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14042,358.9055367,22.41884177,114.2130027,0.056094,0,0.170469,0.001512,7.40E-05,0.260324,0.171258,0.009227,0.0015,0.053152,0.144531,0,0,0,0,0.126379,0,0,0.004695,0,0,0,0,0,0,0,0,0,0,0,0,0
14043,233.9400399,22.36785423,114.1722738,0.337105,0.125965,0.212059,0,0.138805,0.13018,0.038234,0,0,0.000105,0.003711,0,0,0,0,0,0.00025,0,0,0,0,0,0.013137,0,0,0,0,0,0,0,0,0
14044,340.9825379,22.39144885,114.2093571,0.006457,0,0.38141,0.016977,0.075328,0.151164,0.326664,0.00377,0.002617,0.000742,0.01775,0.003574,0.008207,0,0,0,0,0,0,0.00534,0,0,0,0,0,0,0,0,0,0,0,0
14045,195.6888884,22.4026651,114.2026289,0.033129,0,0.20157,0,0.506137,0.153895,0.078559,1.20E-05,0,0.001719,0.003289,0.021691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14046,357.0198534,22.3830424,114.2096647,0.024016,0,0.199008,0.000125,0.030582,0.220434,0.145016,0.002316,0,0.002367,0.068074,0,0.004766,0,0,0.146242,0.010512,0.116438,0.000562,0.001773,0,0,0,0,0,0,0,0,0,0,0,0
14047,10.73302374,22.41004098,114.21197,0,0,0.353465,0.000969,0.034812,0.296258,0.141723,0,0,0.028684,0.017293,0,0.000715,0.01902,0,0.073289,0,0,0.000328,0,0,0,0,0,0,0,0,0,0,0,0,0
