ExtTree_Feature,ExtTree_Score,ExtTree_Sort
fence,0.03883540985016662,10.0
earth,0.04759929188711277,9.0
wall,0.05707523843943768,8.0
grass,0.06023136494547082,7.0
tree,0.06415344773365986,6.0
building,0.07394713656185987,5.0
sidewalk,0.07598286020360172,4.0
plant,0.11519220148752211,3.0
road,0.14255841144312217,2.0
sky,0.3244246374480464,1.0
